date,market_cap
28/04/2013,1500520000
29/04/2013,1491160000
30/04/2013,1597780000
01/05/2013,1542820000
02/05/2013,1292190000
03/05/2013,1180070000
04/05/2013,1089890000
05/05/2013,1254760000
06/05/2013,1289470000
07/05/2013,1248470000
08/05/2013,1219450000
09/05/2013,1259980000
10/05/2013,1255970000
11/05/2013,1311050000
12/05/2013,1288630000
13/05/2013,1279980000
14/05/2013,1315720000
15/05/2013,1242760000
16/05/2013,1274620000
17/05/2013,1319590000
18/05/2013,1379140000
19/05/2013,1376370000
20/05/2013,1368910000
21/05/2013,1363940000
22/05/2013,1374130000
23/05/2013,1384780000
24/05/2013,1413300000
25/05/2013,1489950000
26/05/2013,1478030000
27/05/2013,1495520000
28/05/2013,1454310000
29/05/2013,1446190000
30/05/2013,1483180000
31/05/2013,1445050000
01/06/2013,1445800000
02/06/2013,1451930000
03/06/2013,1376180000
04/06/2013,1357020000
05/06/2013,1365110000
06/06/2013,1371300000
07/06/2013,1338880000
08/06/2013,1249630000
09/06/2013,1215130000
10/06/2013,1131570000
11/06/2013,1198640000
12/06/2013,1229000000
13/06/2013,1227030000
14/06/2013,1173060000
15/06/2013,1128950000
16/06/2013,1127120000
17/06/2013,1128720000
18/06/2013,1152250000
19/06/2013,1210260000
20/06/2013,1224210000
21/06/2013,1259000000
22/06/2013,1239210000
23/06/2013,1224980000
24/06/2013,1222030000
25/06/2013,1156610000
26/06/2013,1171050000
27/06/2013,1179110000
28/06/2013,1153880000
29/06/2013,1074010000
30/06/2013,1078260000
01/07/2013,1107130000
02/07/2013,1000070000
03/07/2013,1027160000
04/07/2013,896693000
05/07/2013,909526000
06/07/2013,779255000
07/07/2013,782352000
08/07/2013,870912000
09/07/2013,865585000
10/07/2013,874138000
11/07/2013,1003090000
12/07/2013,1014640000
13/07/2013,1072140000
14/07/2013,1126260000
15/07/2013,1068520000
16/07/2013,1129260000
17/07/2013,1104760000
18/07/2013,1125660000
19/07/2013,1029670000
20/07/2013,1052140000
21/07/2013,1027640000
22/07/2013,1053000000
23/07/2013,1048820000
24/07/2013,1094490000
25/07/2013,1082800000
26/07/2013,1111160000
27/07/2013,1100900000
28/07/2013,1082750000
29/07/2013,1131340000
30/07/2013,1164940000
